_latitude,_location,_location_address,_location_city,_location_state,_location_zip,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,record_id,state_code,suppression_used,total_amount_reimbursed,units_reimbursed
37.669,POINT (-84.6514 37.669),,,,,-84.6514,10/1,2015-10-01T00:00:00.000,67877,700.7,67877011601,0,21,01,2015,0116,METHADONE,4,FFSU,KY,false,700.7,3259
,,,,,,,7/1,2015-07-01T00:00:00.000,00054,789.19,00054855324,0,49,24,2015,8553,METHADONE,3,FFSU,XX,false,789.19,757
38.4623,POINT (-92.302 38.4623),,,,,-92.302,10/1,2015-10-01T00:00:00.000,00054,,00054355344,,,44,2015,3553,METHADONE,4,FFSU,MO,true,,
38.5111,POINT (-96.8005 38.5111),,,,,-96.8005,1/1,2015-01-01T00:00:00.000,67877,3711.09,67877011601,411.73,159,01,2015,0116,Methadone,1,MCOU,KS,false,4122.82,26887
44.5672,POINT (-122.1269 44.5672),,,,,-122.1269,10/1,2015-10-01T00:00:00.000,00054,221.08,00054457025,17,17,25,2015,4570,METHADONE,4,FFSU,OR,false,238.08,716
47.3917,POINT (-121.5708 47.3917),,,,,-121.5708,1/1,2015-01-01T00:00:00.000,67877,2017.69,67877011601,35.73,166,01,2015,0116,Methadone,1,FFSU,WA,false,2053.42,16089
40.1135,POINT (-111.8535 40.1135),,,,,-111.8535,4/1,2015-04-01T00:00:00.000,00054,,00054355344,,,44,2015,3553,METHADONE,2,FFSU,UT,true,,
33.7712,POINT (-111.3877 33.7712),,,,,-111.3877,10/1,2015-10-01T00:00:00.000,00406,202.95,00406577101,0,17,01,2015,5771,METHADONE,4,FFSU,AZ,false,202.95,1128
46.9048,POINT (-110.3261 46.9048),,,,,-110.3261,4/1,2015-04-01T00:00:00.000,00054,1253.23,00054457125,68.13,50,25,2015,4571,METHADONE,2,FFSU,MT,false,1321.36,6221
40.1135,POINT (-111.8535 40.1135),,,,,-111.8535,10/1,2015-10-01T00:00:00.000,67457,,67457021720,,,20,2015,0217,Methadone,4,MCOU,UT,true,,
35.6411,POINT (-79.8431 35.6411),,,,,-79.8431,1/1,2015-01-01T00:00:00.000,12496,207460.89,12496121203,380.63,431,03,2015,1212,SUBOXONE,1,FFSU,NC,false,207841.52,14428
32.799,POINT (-86.8073 32.799),,,,,-86.8073,7/1,2015-07-01T00:00:00.000,00054,,00054355563,,,63,2015,3555,METHADONE,3,FFSU,AL,true,,
43.3504,POINT (-84.5603 43.3504),,,,,-84.5603,10/1,2015-10-01T00:00:00.000,54123,27366.19,54123098630,0,72,30,2015,0986,ZUBSOLV,4,FFSU,MI,false,27366.19,2544
43.4108,POINT (-71.5653 43.4108),,,,,-71.5653,7/1,2015-07-01T00:00:00.000,12496,891638.25,12496120803,598.02,5077,03,2015,1208,SUBOXONE,3,MCOU,NH,false,892236.27,126831
43.3504,POINT (-84.5603 43.3504),,,,,-84.5603,4/1,2015-04-01T00:00:00.000,12496,2676166,12496120803,9422.35,9336,03,2015,1208,SUBOXONE,2,FFSU,MI,false,2685588.35,377937
44.5672,POINT (-122.1269 44.5672),,,,,-122.1269,10/1,2015-10-01T00:00:00.000,66689,,66689069430,,,30,2015,0694,Methadone,4,MCOU,OR,true,,
44.5672,POINT (-122.1269 44.5672),,,,,-122.1269,4/1,2015-04-01T00:00:00.000,00406,363.5,00406575501,32.43,22,01,2015,5755,METHADONE,2,FFSU,OR,false,395.93,2154
61.385,POINT (-152.2683 61.385),,,,,-152.2683,1/1,2015-01-01T00:00:00.000,00406,249.76,00406575501,0,16,01,2015,5755,METHADONE,1,FFSU,AK,false,249.76,1195
31.1801,POINT (-91.8749 31.1801),,,,,-91.8749,7/1,2015-07-01T00:00:00.000,00054,,00054457025,,,25,2015,4570,METHADONE,3,MCOU,LA,true,,
40.1135,POINT (-111.8535 40.1135),,,,,-111.8535,1/1,2015-01-01T00:00:00.000,67877,1201.14,67877011601,0,66,01,2015,0116,Methadone,1,FFSU,UT,false,1201.14,6669
44.6074,POINT (-69.3977 44.6074),,,,,-69.3977,1/1,2015-01-01T00:00:00.000,59011,,59011075704,,,04,2015,0757,BUTRANS,1,FFSU,ME,true,,
45.7326,POINT (-93.9196 45.7326),,,,,-93.9196,10/1,2015-10-01T00:00:00.000,59011,2893.64,59011075004,23,14,04,2015,0750,BUTRANS,4,FFSU,MN,false,2916.64,56
34.9513,POINT (-92.3809 34.9513),,,,,-92.3809,1/1,2015-01-01T00:00:00.000,66689,,66689071216,,,16,2015,0712,METHADONE,1,FFSU,AR,true,,
