_latitude,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,location,location_address,location_city,location_state,location_zip,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,state_code,suppression_used,total_amount_reimbursed,units_reimbursed,utilization_type
33.7712,-111.3877,4/1,2016-04-01T00:00:00.000,59011,POINT (-111.3877 33.7712),,,,,5885.23,59011075004,0,28,04,2016,0750,BUTRANS,2,AZ,false,5885.23,108,MCOU
38.468,-80.9696,7/1,2016-07-01T00:00:00.000,59011,POINT (-80.9696 38.468),,,,,4206.25,59011075004,0,19,04,2016,0750,BUTRANS,3,WV,false,4206.25,73,FFSU
42.0046,-93.214,7/1,2016-07-01T00:00:00.000,00054,POINT (-93.214 42.0046),,,,,,00054457125,,,25,2016,4571,METHADONE,3,IA,true,,,FFSU
47.3917,-121.5708,10/1,2016-10-01T00:00:00.000,66689,POINT (-121.5708 47.3917),,,,,,66689069479,,,79,2016,0694,METHADONE,4,WA,true,,,MCOU
35.6411,-79.8431,4/1,2016-04-01T00:00:00.000,59011,POINT (-79.8431 35.6411),,,,,153864.02,59011075104,1755.01,440,04,2016,0751,BUTRANS,2,NC,false,155619.03,1833,FFSU
35.6411,-79.8431,10/1,2016-10-01T00:00:00.000,12496,POINT (-79.8431 35.6411),,,,,153985.4,12496120403,1731.74,682,03,2016,1204,SUBOXONE,4,NC,false,155717.14,21801,FFSU
33.7712,-111.3877,4/1,2016-04-01T00:00:00.000,00054,POINT (-111.3877 33.7712),,,,,,00054039268,,,68,2016,0392,METHADONE,2,AZ,true,,,MCOU
33.7712,-111.3877,7/1,2016-07-01T00:00:00.000,00406,POINT (-111.3877 33.7712),,,,,,00406575562,,,62,2016,5755,METHADONE,3,AZ,true,,,MCOU
37.768,-78.2057,1/1,2016-01-01T00:00:00.000,00406,POINT (-78.2057 37.768),,,,,,00406577123,,,23,2016,5771,METHADONE,1,VA,true,,,MCOU
42.2373,-71.5314,7/1,2016-07-01T00:00:00.000,00054,POINT (-71.5314 42.2373),,,,,3692.7,00054457025,958.34,334,25,2016,4570,METHADONE,3,MA,false,4651.04,26389,MCOU
40.3736,-82.7755,4/1,2016-04-01T00:00:00.000,63739,POINT (-82.7755 40.3736),,,,,,63739000610,,,10,2016,0006,METHADONE,2,OH,true,,,MCOU
44.2563,-89.6385,4/1,2016-04-01T00:00:00.000,66689,POINT (-89.6385 44.2563),,,,,,66689069479,,,79,2016,0694,METHADONE,2,WI,true,,,FFSU
34.8375,-106.2371,4/1,2016-04-01T00:00:00.000,00054,POINT (-106.2371 34.8375),,,,,,00054355663,,,63,2016,3556,METHADONE,2,NM,true,,,FFSU
43.4108,-71.5653,4/1,2016-04-01T00:00:00.000,59011,POINT (-71.5653 43.4108),,,,,,59011075004,,,04,2016,0750,BUTRANS,2,NH,true,,,MCOU
40.5773,-77.264,1/1,2016-01-01T00:00:00.000,00054,POINT (-77.264 40.5773),,,,,,00054457025,,,25,2016,4570,METHADONE,1,PA,true,,,FFSU
45.7326,-93.9196,4/1,2016-04-01T00:00:00.000,12496,POINT (-93.9196 45.7326),,,,,95459.2,12496121203,1041.8,186,03,2016,1212,SUBOXONE,2,MN,false,96501,6364,MCOU
31.106,-97.6475,1/1,2016-01-01T00:00:00.000,00054,POINT (-97.6475 31.106),,,,,477.54,00054457025,0,43,25,2016,4570,METHADONE,1,TX,false,477.54,4030,FFSU
43.4108,-71.5653,4/1,2016-04-01T00:00:00.000,66689,POINT (-71.5653 43.4108),,,,,,66689089840,,,40,2016,0898,METHADONE,2,NH,true,,,FFSU
27.8333,-81.717,1/1,2016-01-01T00:00:00.000,59011,POINT (-81.717 27.8333),,,,,,59011075004,,,04,2016,0750,BUTRANS,1,FL,true,,,FFSU
34.9513,-92.3809,1/1,2016-01-01T00:00:00.000,00054,POINT (-92.3809 34.9513),,,,,7466.7,00054457125,0,174,25,2016,4571,METHADONE,1,AR,false,7466.7,24732,FFSU
,,7/1,2016-07-01T00:00:00.000,00904,,,,,,,00904653060,,,60,2016,6530,METHADONE,3,XX,true,,,FFSU
36.17,-119.7462,4/1,2016-04-01T00:00:00.000,00406,POINT (-119.7462 36.17),,,,,,00406575562,,,62,2016,5755,METHADONE,2,CA,true,,,MCOU
37.669,-84.6514,10/1,2016-10-01T00:00:00.000,59011,POINT (-84.6514 37.669),,,,,31520.69,59011075104,0,94,04,2016,0751,BUTRANS,4,KY,false,31520.69,373,MCOU
,,7/1,2016-07-01T00:00:00.000,00406,,,,,,3246.59,00406577162,6503.75,125,62,2016,5771,METHADONE,3,XX,false,9750.34,14381.5,MCOU
,,1/1,2016-01-01T00:00:00.000,12496,,,,,,,12496130602,,,02,2016,1306,SUBOXONE,1,XX,true,,,MCOU
27.8333,-81.717,4/1,2016-04-01T00:00:00.000,59385,POINT (-81.717 27.8333),,,,,,59385001430,,,30,2016,0014,BUNAVAIL,2,FL,true,,,MCOU
42.1497,-74.9384,1/1,2016-01-01T00:00:00.000,00054,POINT (-74.9384 42.1497),,,,,7945.51,00054457025,0,536,25,2016,4570,METHADONE,1,NY,false,7945.51,44175,MCOU
45.7326,-93.9196,7/1,2016-07-01T00:00:00.000,59011,POINT (-93.9196 45.7326),,,,,,59011075804,,,04,2016,0758,BUTRANS,3,MN,true,,,FFSU
,,4/1,2016-04-01T00:00:00.000,00054,,,,,,13195.44,00054039268,7.56,688,68,2016,0392,METHADONE,2,XX,false,13203,145313.8,FFSU
