County,Rates,95% LCL,95% UCL,Counts
Alameda,2.63,1.94,3.52,48
Alpine,0,NaN,931,0
Amador,15.61,4.76,40.61,5
Butte,7.07,4,12.08,17
Calaveras,9.97,8.44,29.57,4
Colusa,6.8,3.71,34.34,2
Contra Costa,4.19,3.1,5.56,51
Del Norte,7.67,4.18,30.65,2
El Dorado,4.83,1.99,10.18,7
Fresno,6.54,5.04,8.43,63
Glenn,3.39,3.69,24.6,1
Humboldt,22.35,15.39,32.01,33
Imperial,5.78,2.67,11.27,9
Inyo,22.91,8.33,69.17,3
Kern,5.7,4.26,7.58,51
Kings,3.98,2.35,9.37,6
Lake,11.52,4.96,25.58,9
Lassen,17.79,6.85,43.06,6
Los Angeles,2.97,2.65,3.32,327
Madera,6.02,2.92,11.6,10
Marin,5.87,3.05,10.49,13
Mariposa,0,NaN,38.66,0
Mendocino,17.34,9.65,29.59,17
Merced,9.82,6.25,14.92,23
Modoc,0,NaN,67.55,0
Mono,6.89,7.51,49.59,1
Monterey,2.22,1.13,4.16,11
Napa,1.64,0.9,6.04,2
Nevada,9.85,6.47,20.07,8
Orange,8.08,7.14,9.12,277
Placer,3.75,2.1,6.41,14
Plumas,0,NaN,37.51,0
Riverside,4.33,3.54,5.26,107
Sacramento,3.19,2.37,4.24,51
San Benito,2.22,2.42,12.22,1
San Bernardino,1.58,1.1,2.24,34
San Diego,6.7,5.87,7.64,239
San Francisco,9.03,7.24,11.33,92
San Joaquin,6.8,5.09,8.97,53
San Luis Obispo,6.39,3.93,10.36,20
San Mateo,2.37,1.42,3.8,19
Santa Barbara,6.94,4.62,10.17,30
Santa Clara,3.15,2.44,4.02,66
Santa Cruz,11.95,8.17,17.11,34
Shasta,8.29,4.84,14.13,16
Sierra,0,NaN,259.48,0
Siskiyou,16.05,6.42,36.96,8
Solano,3.01,1.68,5.23,14
Sonoma,4.36,2.73,6.72,23
Stanislaus,2.56,1.42,4.41,14
Sutter,3.42,2.67,10.38,3
Tehama,3.3,5.32,13.73,2
Trinity,13.4,7.3,65.18,2
Tulare,2.62,1.34,4.76,12
Tuolumne,11.34,6.75,26.84,7
Ventura,4.71,3.36,6.47,41
Yolo,4.29,1.95,8.61,9
Yuba,8.08,4.14,19.46,5
