State	Medicaid %	Total State Population	Total Medicaid Population	OUD Prevalence
AK	18	741522	133474	2669
AL	19	4860545	923504	18470
AR	22	2988231	657411	13148
AZ	25	6908642	1727161	34543
CA	26	39296476	10217084	204342
CO	19	5530105	1050720	21014
CT	19	3587685	681660	13633
DC	26	684336	177927	3559
DE	18	952698	171486	3430
FL	18	20656589	3718186	74364
GA	19	10313620	1959588	39192
HI	18	1428683	257163	5143
IA	17	3130869	532248	10645
ID	18	1680026	302405	6048
IL	19	12835726	2438788	48776
IN	19	6634007	1260461	25209
KS	13	2907731	378005	7560
KY	22	4436113	975945	19519
LA	20	4686157	937231	18745
MA	23	6823721	1569456	31389
MD	15	6024752	903713	18074
ME	23	1330232	305953	6119
MI	19	9933445	1887355	37747
MN	14	5525050	773507	15470
MO	13	6091176	791853	15837
MS	23	2985415	686645	13733
MT	16	1038656	166185	3324
NC	18	10156689	1828204	36564
ND	10	755548	75555	1511
NE	13	1907603	247988	4960
NH	13	1335015	173552	3471
NJ	18	8978416	1616115	32322
NM	27	2085432	563067	11261
NV	17	2939254	499673	9993
NY	24	19836286	4760709	95214
OH	21	11622554	2440736	48815
OK	17	3921207	666605	13332
OR	24	4085989	980637	19613
PA	18	12787085	2301675	46034
RI	17	1057566	179786	3596
SC	19	4959822	942366	18847
SD	14	861542	120616	2412
TN	19	6649404	1263387	25268
TX	16	27904862	4464778	89296
UT	12	3044321	365319	7306
VA	11	8414380	925582	18512
VT	20	623354	124671	2493
WA	22	7280934	1601805	32036
WI	17	5772917	981396	19628
WV	29	1828637	530305	10606
WY	10	584910	58491	1170
