Utilization Type,State,Labeler Code,Product Code,Package Size,Year,Quarter,Product Name,Suppression Used,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed,Quarter Begin,Quarter Begin Date,Latitude,Longitude,Location,NDC
FFSU,CO,12496,1306,02,2012,1,SUBOXONE,false,18620.7,342,145800.73,144645.99,1154.74,1/1,01/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",12496130602
MCOU,CA,00406,5755,01,2012,4,METHADONE,false,23475.5,313,2155.4,2155.4,0,10/1,10/01/2012,36.17,-119.7462,"(36.17, -119.7462)",00406575501
MCOU,WA,00406,5755,01,2012,1,METHADONE,false,1538,20,146.86,146.86,0,1/1,01/01/2012,47.3917,-121.5708,"(47.3917, -121.5708)",00406575501
FFSU,CO,00406,5771,01,2012,2,METHADONE,false,83657,482,12630.53,12509.26,121.27,4/1,04/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",00406577101
FFSU,HI,00054,4571,25,2012,4,METHADONE,true,,,,,,10/1,10/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054457125
MCOU,HI,67877,0116,01,2012,1,METHADONE,true,,,,,,1/1,01/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",67877011601
MCOU,HI,00054,4571,25,2012,2,METHADONE,false,149655,911,18558,18558,0,4/1,04/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054457125
MCOU,XX,00406,5771,01,2012,3,METHADONE,false,3818399.5,24840,411103.04,406522.16,4580.88,7/1,07/01/2012,,,,00406577101
MCOU,HI,00406,5771,62,2012,4,METHADONE,true,,,,,,10/1,10/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00406577162
FFSU,XX,00054,4571,25,2012,3,METHADONE,false,5883731.5,38705,735500.14,703903.98,31596.16,7/1,07/01/2012,,,,00054457125
FFSU,CO,12496,1306,02,2012,4,SUBOXONE,false,15226,268,147689.34,146859.49,829.85,10/1,10/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",12496130602
FFSU,CO,00054,4570,25,2012,2,METHADONE,false,14718.4,165,1832.92,1827.72,5.2,4/1,04/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",00054457025
FFSU,HI,00406,5771,01,2012,1,METHADONE,true,,,,,,1/1,01/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00406577101
FFSU,XX,00054,4570,25,2012,2,METHADONE,false,432031.9,5224,45989.59,43852.72,2136.87,4/1,04/01/2012,,,,00054457025
FFSU,HI,00054,8553,24,2012,1,METHADONE,true,,,,,,1/1,01/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054855324
FFSU,CO,12496,1208,03,2012,4,SUBOXONE,false,47442,1001,344346.04,342325.24,2020.8,10/1,10/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",12496120803
