period_covered,utilization_type,state_code,number_of_prescriptions,total_amount_reimbursed,Prescription
2016,FFSU,AK,13,7616.9,Buprenorphine
2016,FFSU,AK,24,11513.68,Buprenorphine
2016,FFSU,AK,26,5721.75,Buprenorphine
2016,FFSU,AK,30,6296.81,Buprenorphine
2016,FFSU,AK,30,17523.96,Buprenorphine
2016,FFSU,AK,41,13251.07,Buprenorphine
2016,FFSU,AK,57,17996.65,Buprenorphine
2016,FFSU,AK,65,7465.57,Buprenorphine
2016,FFSU,AK,83,6252.7,Buprenorphine
2016,FFSU,AK,88,8660.62,Buprenorphine
2016,FFSU,AK,101,9766.05,Buprenorphine
2016,FFSU,AK,1142,326685.16,Buprenorphine
2016,FFSU,AK,1391,362630.38,Buprenorphine
2016,FFSU,AK,1858,485647.48,Buprenorphine
2016,FFSU,AK,1900,508054.16,Buprenorphine
2016,FFSU,AR,16,8039.36,Buprenorphine
2016,FFSU,AR,17,10375.05,Buprenorphine
2016,FFSU,AR,20,4674.4,Buprenorphine
2016,FFSU,AR,26,8475.48,Buprenorphine
2016,FFSU,AR,30,10440.41,Buprenorphine
2016,FFSU,AR,47,23615.62,Buprenorphine
2016,FFSU,AR,51,31440.59,Buprenorphine
2016,FFSU,AR,53,17279.94,Buprenorphine
2016,FFSU,AR,59,13580.59,Buprenorphine
2016,FFSU,AR,59,13776.64,Buprenorphine
2016,FFSU,AR,77,38195.48,Buprenorphine
2016,FFSU,AR,87,53615.32,Buprenorphine
2016,FFSU,AR,89,31078.9,Buprenorphine
2016,FFSU,AR,96,33513.6,Buprenorphine
2016,FFSU,AR,269,114074.94,Buprenorphine
2016,FFSU,AR,449,190994.2,Buprenorphine
2016,FFSU,AR,490,216135.52,Buprenorphine
2016,FFSU,AR,496,222982.35,Buprenorphine
2016,FFSU,CO,16,5014.24,Buprenorphine
2016,FFSU,CO,19,11223.48,Buprenorphine
2016,FFSU,CO,20,5527.78,Buprenorphine
2016,FFSU,CO,21,13520.4,Buprenorphine
2016,FFSU,CO,30,26456.73,Buprenorphine
2016,FFSU,CO,31,17535.4,Buprenorphine
2016,FFSU,CO,33,7828.26,Buprenorphine
2016,FFSU,CO,34,20479.03,Buprenorphine
2016,FFSU,CO,42,9044.5,Buprenorphine
2016,FFSU,CO,58,14938.44,Buprenorphine
2016,FFSU,CO,67,18014.45,Buprenorphine
2016,FFSU,CO,74,34436.14,Buprenorphine
2016,FFSU,CO,75,14967.5,Buprenorphine
2016,FFSU,CO,84,44992.23,Buprenorphine
2016,FFSU,CO,95,30422.3,Buprenorphine
2016,FFSU,CO,96,20342.85,Buprenorphine
2016,FFSU,CO,105,28587.99,Buprenorphine
2016,FFSU,CO,111,52615.1,Buprenorphine
2016,FFSU,CO,117,53712.31,Buprenorphine
2016,FFSU,CO,144,64799.21,Buprenorphine
2016,FFSU,CO,148,86503.03,Buprenorphine
2016,FFSU,CO,155,40783.19,Buprenorphine
2016,FFSU,CO,157,81761.35,Buprenorphine
2016,FFSU,CO,160,52811.38,Buprenorphine
2016,FFSU,CO,167,79701.12,Buprenorphine
2016,FFSU,CO,186,108194.44,Buprenorphine
2016,FFSU,CO,193,63437.69,Buprenorphine
2016,FFSU,CO,205,111956.66,Buprenorphine
2016,FFSU,CO,321,62465.17,Buprenorphine
2016,FFSU,CO,330,62767.58,Buprenorphine
2016,FFSU,CO,343,105163.8,Buprenorphine
2016,FFSU,CO,472,96044.47,Buprenorphine
2016,FFSU,CO,496,150340.74,Buprenorphine
2016,FFSU,CO,596,105969.1,Buprenorphine
2016,FFSU,CO,629,175357.52,Buprenorphine
2016,FFSU,CO,3920,1307918.72,Buprenorphine
2016,FFSU,CO,4384,1404464.82,Buprenorphine
2016,FFSU,CO,6240,1928596.82,Buprenorphine
2016,FFSU,CO,6914,2076088.02,Buprenorphine
2016,FFSU,FL,12,4135.32,Buprenorphine
2016,FFSU,FL,12,6150.61,Buprenorphine
2016,FFSU,FL,14,6416.9,Buprenorphine
2016,FFSU,FL,16,4258.46,Buprenorphine
2016,FFSU,FL,17,5569.61,Buprenorphine
2016,FFSU,FL,18,4071.59,Buprenorphine
2016,FFSU,FL,21,5621.24,Buprenorphine
2016,FFSU,FL,30,7195.76,Buprenorphine
2016,FFSU,FL,30,11303.18,Buprenorphine
2016,FFSU,FL,43,14580.7,Buprenorphine
2016,FFSU,FL,49,15022.9,Buprenorphine
2016,FFSU,ID,13,3424.36,Buprenorphine
2016,FFSU,ID,14,2828.61,Buprenorphine
2016,FFSU,ID,18,4144.32,Buprenorphine
2016,FFSU,ID,20,4620.43,Buprenorphine
2016,FFSU,ID,23,5322.88,Buprenorphine
2016,FFSU,ID,25,3262.47,Buprenorphine
