period_covered,record_id,number_of_prescriptions,total_amount_reimbursed
2012,FFSU,1001,344346.04
2012,FFSU,121,727.98
2012,FFSU,165,1832.92
2012,FFSU,23,6425.84
2012,FFSU,24881,457668.36
2012,FFSU,25594,475120.85
2012,FFSU,268,147689.34
2012,FFSU,26982,497470.52
2012,FFSU,285,140537.55
2012,FFSU,32742,617632.12
2012,FFSU,32874,604569.07
2012,FFSU,33,11651.5
2012,FFSU,342,145800.73
2012,FFSU,36817,704804.14
2012,FFSU,387,4022.52
2012,FFSU,38705,735500.14
2012,FFSU,4593,39977.56
2012,FFSU,46342,872969.34
2012,FFSU,482,12630.53
2012,FFSU,491,13244.2
2012,FFSU,50,13566.21
2012,FFSU,5224,45989.59
2012,FFSU,55,17432.66
2012,FFSU,599,15422.01
2012,FFSU,61,395.3
2012,FFSU,635,16328.1
2012,FFSU,66,8911.92
2012,FFSU,706,18739.29
2012,FFSU,711,18232.5
2012,FFSU,714,18035.38
2012,FFSU,726,255152.6
2012,FFSU,782,20055.79
2012,MCOU,1962,38074.55
2012,MCOU,1992,40410.54
2012,MCOU,20,121.16
2012,MCOU,20,146.86
2012,MCOU,20,164.27
2012,MCOU,2107,41324.2
2012,MCOU,21116,349636.06
2012,MCOU,21389,362267
2012,MCOU,24,349.92
2012,MCOU,24840,411103.04
2012,MCOU,2535,51712.4
2012,MCOU,25808,409434.91
2012,MCOU,26285,483767.22
2012,MCOU,313,2155.4
2012,MCOU,318,2408.62
2012,MCOU,32052,527955.82
2012,MCOU,32267,563566.8
2012,MCOU,331,2459.08
2012,MCOU,3498,21197.3
2012,MCOU,3507,80016.4
2012,MCOU,357,6988.61
2012,MCOU,3687,23659.46
2012,MCOU,370,7295.05
2012,MCOU,39832,665865.97
2012,MCOU,402,4762.74
2012,MCOU,4052,44525.15
2012,MCOU,4133,28531.45
2012,MCOU,430,3048.22
2012,MCOU,4335,27554.54
2012,MCOU,442,8652.18
2012,MCOU,4478,31192.31
2012,MCOU,4576,95104.64
2012,MCOU,46,18461.33
2012,MCOU,467,3475.35
2012,MCOU,469,9288.98
2012,MCOU,504,3774.44
2012,MCOU,51,57223.47
2012,MCOU,5145,107627.35
2012,MCOU,5259,108907.2
2012,MCOU,55,445.69
2012,MCOU,5539,116930.15
2012,MCOU,56,416.14
2012,MCOU,563,4044.25
2012,MCOU,697,19024.23
2012,MCOU,818,16214.64
2012,MCOU,857,17224.4
2012,MCOU,911,18558
2012,MCOU,97,5080.84
2013,FFSU,101,1877.3
2013,FFSU,102,1624.68
2013,FFSU,102,614.62
2013,FFSU,1058,16408.99
2013,FFSU,110,1205.12
2013,FFSU,112,1771.38
2013,FFSU,1190,408943.48
2013,FFSU,12,116.8
2013,FFSU,1261,22675.7
2013,FFSU,1309,444306.51
2013,FFSU,132,663.37
2013,FFSU,1364,467569.27
2013,FFSU,14,152.49
2013,FFSU,14,235.19
2013,FFSU,1451,498279.71
2013,FFSU,146,1905.77
2013,FFSU,16,151.66
2013,FFSU,17,182.78
2013,FFSU,195,3561.2
2013,FFSU,205,2886.53
2013,FFSU,209,3020.67
2013,FFSU,21247,389317.26
2013,FFSU,217,3155.92
2013,FFSU,21934,422719.08
2013,FFSU,22,8116.8
2013,FFSU,22982,433999.48
2013,FFSU,23006,435392.45
2013,FFSU,23960,450362.3
2013,FFSU,24,5948.9
2013,FFSU,242,3081.21
2013,FFSU,243,3643.25
2013,FFSU,258,4316.2
2013,FFSU,26569,506442.04
2013,FFSU,280,2050.32
2013,FFSU,29,163.64
2013,FFSU,29920,557755.89
2013,FFSU,311,3820.32
2013,FFSU,31208,595098.73
2013,FFSU,34,178.96
2013,FFSU,3481,29881.25
2013,FFSU,37,457.66
2013,FFSU,3782,82232.57
2013,FFSU,38,297.28
2013,FFSU,3820,32669.82
2013,FFSU,3992,35524.5
2013,FFSU,4031,36533.42
2013,FFSU,409,6182.47
2013,FFSU,4119,36888.51
2013,FFSU,433,3681
2013,FFSU,45,20581.52
2013,FFSU,47,20543.16
